epoch:178, epoch_loss:0.20748
epoch:179, epoch_loss:0.20541
epoch:180, epoch_loss:0.20081
epoch:181, epoch_loss:0.20437
epoch:182, epoch_loss:0.20533
epoch:183, epoch_loss:0.20123
epoch:184, epoch_loss:0.20189
epoch:185, epoch_loss:0.19965
epoch:186, epoch_loss:0.20121
epoch:187, epoch_loss:0.19931
epoch:188, epoch_loss:0.20270
epoch:189, epoch_loss:0.20341
epoch:190, epoch_loss:0.20148
epoch:191, epoch_loss:0.19756
epoch:192, epoch_loss:0.19721
epoch:193, epoch_loss:0.19771
epoch:194, epoch_loss:0.19755
epoch:195, epoch_loss:0.19763
epoch:196, epoch_loss:0.19811
epoch:197, epoch_loss:0.19543
epoch:198, epoch_loss:0.19323
epoch:199, epoch_loss:0.19689
epoch:200, epoch_loss:0.19764
epoch:201, epoch_loss:0.19399
epoch:202, epoch_loss:0.19296
epoch:203, epoch_loss:0.19343
epoch:204, epoch_loss:0.19080
epoch:205, epoch_loss:0.19270
epoch:206, epoch_loss:0.19080
epoch:207, epoch_loss:0.19191
epoch:208, epoch_loss:0.19160
epoch:209, epoch_loss:0.19045
epoch:210, epoch_loss:0.19089
epoch:211, epoch_loss:0.18758
epoch:212, epoch_loss:0.19247
epoch:213, epoch_loss:0.18992
epoch:214, epoch_loss:0.18654
epoch:215, epoch_loss:0.18661
epoch:216, epoch_loss:0.18699
epoch:217, epoch_loss:0.18555
epoch:218, epoch_loss:0.18309
epoch:219, epoch_loss:0.18394
epoch:220, epoch_loss:0.18499
epoch:221, epoch_loss:0.18628
epoch:222, epoch_loss:0.18513
epoch:223, epoch_loss:0.18652
epoch:224, epoch_loss:0.18671
epoch:225, epoch_loss:0.18197
epoch:226, epoch_loss:0.18255
epoch:227, epoch_loss:0.18577
epoch:228, epoch_loss:0.18320
epoch:229, epoch_loss:0.18248
epoch:230, epoch_loss:0.18409
epoch:231, epoch_loss:0.18291
epoch:232, epoch_loss:0.18080
epoch:233, epoch_loss:0.18196
epoch:234, epoch_loss:0.18073
epoch:235, epoch_loss:0.17972
epoch:236, epoch_loss:0.18205
epoch:237, epoch_loss:0.18540
epoch:238, epoch_loss:0.18071
epoch:239, epoch_loss:0.18024
epoch:240, epoch_loss:0.18032
epoch:241, epoch_loss:0.17915
epoch:242, epoch_loss:0.17836
epoch:243, epoch_loss:0.17728
epoch:244, epoch_loss:0.17734
epoch:245, epoch_loss:0.17634
epoch:246, epoch_loss:0.17673
epoch:247, epoch_loss:0.17528
epoch:248, epoch_loss:0.17424
epoch:249, epoch_loss:0.17625
epoch:250, epoch_loss:0.17582
epoch:251, epoch_loss:0.17518
epoch:252, epoch_loss:0.17304
epoch:253, epoch_loss:0.17468
epoch:254, epoch_loss:0.17323
epoch:255, epoch_loss:0.17586
epoch:256, epoch_loss:0.17255
epoch:257, epoch_loss:0.17332
epoch:258, epoch_loss:0.17115
epoch:259, epoch_loss:0.17177
epoch:260, epoch_loss:0.17384
epoch:261, epoch_loss:0.17091
epoch:262, epoch_loss:0.17238
epoch:263, epoch_loss:0.16926
epoch:264, epoch_loss:0.17084
epoch:265, epoch_loss:0.17021
epoch:266, epoch_loss:0.17082
epoch:267, epoch_loss:0.16890
epoch:268, epoch_loss:0.16806
epoch:269, epoch_loss:0.16833
epoch:270, epoch_loss:0.16708
epoch:271, epoch_loss:0.16968
epoch:272, epoch_loss:0.16855
epoch:273, epoch_loss:0.16706
